date,supply_id,total_possible_utilization,supply_category_id,del_imps,edges,avg_perf,num_dem_cats,frac_util
1,3847066,314994,4,87461,208,0.64,13,0.2777
1,3847081,17,NA,0,0,0,0,0
1,3847098,183,1,34,3,0.74,3,0.1858
1,3847106,6,3,0,0,0,0,0
1,3847117,454512,3,14261,109,0.08,13,0.0314
1,3847145,589255,3,99382,15,0.91,10,0.1687
1,3847146,6801669,3,382200,210,0.83,35,0.0562
1,3847149,2083,3,14,2,0.57,2,0.0067
1,3847176,423757,1,166451,67,0.14,9,0.3928
1,3847187,332823,1,94820,105,0.63,13,0.2849
1,3847218,1410,3,1111,29,0.81,6,0.7879
1,3847266,1,1,0,0,0,0,0
1,3847270,76364,1,11412,64,0.89,9,0.1494
1,3847272,74976,3,70413,10,0.8,4,0.9391
1,3847303,102165,2,11638,26,0.69,10,0.1139
1,3847321,34001838,3,8967389,306,0.84,38,0.2637
1,3847341,45092,4,1756,11,0.1,5,0.0389
1,3847363,37,3,0,0,0,0,0
1,3847371,3613108,3,319184,152,0.6,28,0.0883
1,3847386,515,2,252,24,0.42,9,0.4893
1,3847394,45323,1,922,1,0.89,1,0.0203
1,3847395,10108,1,1,1,0,1,1e-04
1,3847396,80585,1,7280,19,0.78,3,0.0903
1,3847399,53,4,0,0,0,0,0
1,3847400,9,4,2,2,0,2,0.2222
1,3847401,52,4,0,0,0,0,0
1,3847402,60220,4,4541,5,0.92,2,0.0754
1,3847404,5092,4,385,1,0.55,1,0.0756
1,3847414,865392,1,23930,66,0.87,9,0.0277
1,3847420,12545,3,265,22,0.28,13,0.0211
1,3847438,119385,4,5349,22,0.58,6,0.0448
1,3847439,238003,4,134486,233,0.76,21,0.5651
1,3847440,4977401,4,1012190,167,0.64,28,0.2034
1,3847441,3589118,4,475162,139,0.61,23,0.1324
1,3847442,848440,4,303200,237,0.72,27,0.3574
1,3847443,77998,4,759,43,0.52,17,0.0097
1,3847444,37935,4,5229,85,0.69,21,0.1378
1,3847452,29460,3,403,2,0.4,2,0.0137
1,3847453,2852558,4,1495120,250,0.87,34,0.5241
1,3847454,203166,4,46751,15,0.64,3,0.2301
1,3847520,124008,1,3659,47,0.89,18,0.0295
1,3847521,63860,1,454,3,0.96,1,0.0071
1,3847522,8319,1,209,16,0.91,6,0.0251
1,3847529,68,1,28,16,0.39,4,0.4118
1,3847548,7477824,2,507079,132,0.1,16,0.0678
1,3847551,5487,1,3953,42,0.72,18,0.7204
1,3847562,64341,4,8174,8,0.81,4,0.127
1,3847568,363,4,10,6,0.5,4,0.0275
1,3847626,25492,1,1504,8,0.97,2,0.059
1,3847628,9,NA,0,0,0,0,0
1,3847629,4,2,0,0,0,0,0
1,3847631,7,2,0,0,0,0,0
1,3847633,6,2,0,0,0,0,0
1,3847636,3581571,2,2056,27,0.77,8,6e-04
1,3847638,20143,3,209,10,0.72,5,0.0104
1,3847640,208,4,0,0,0,0,0
1,3847642,1825,2,4,2,0.75,2,0.0022
1,3847650,19819805,3,10549,6,0.6,5,5e-04
1,3847651,176,2,0,0,0,0,0
1,3847652,14632,2,0,0,0,0,0
1,3847654,22890,3,183,9,0.46,5,0.008
1,3847659,212368,3,14,4,0.43,4,1e-04
1,3847660,6318,2,313,5,0.71,4,0.0495
1,3847661,301,3,0,0,0,0,0
1,3847662,100,2,0,0,0,0,0
1,3847663,490505,3,24893,27,0.59,8,0.0507
1,3847666,2485,2,0,0,0,0,0
1,3847667,424559,1,36373,11,0.96,2,0.0857
1,3847668,41,2,0,0,0,0,0
1,3847670,284,2,74,1,0.72,1,0.2606
